Event,Count,SysTime
Lick1,2,526463.34723199997
Lick1,0,526463.52124799998
Feed1,120,526463.52723200002
Lick1,1,526463.99523200002
Lick1,2,526464.13119999995
Lick1,0,526464.40121599997
Feed1,121,526464.41321599996
Lick1,1,526464.70921600005
Lick1,2,526464.94720000005
Lick1,0,526465.52320000005
Feed1,122,526465.53520000004
Lick1,1,526465.69519999996
Lick1,2,526466.10121600004
Lick1,0,526466.47721599997
Feed1,123,526466.48719999997
Lick1,1,526466.57920000004
Lick1,2,526466.81920000003
Lick1,0,526467.08918400004
Feed1,124,526467.10118400003
Lick1,1,526467.56316799996
Lick1,2,526467.69916800002
Lick1,0,526468.07516799995
Feed1,125,526468.08716800006
Lick1,1,526468.58316799998
Lick1,2,526469.09513599996
Lick1,0,526469.33315199998
Feed1,126,526469.34515199997
Lick1,1,526469.67315199994
Lick1,2,526469.77513600001
Lick1,0,526470.01315200003
Feed1,127,526470.02515200002
Lick1,1,526470.52115199994
Lick1,2,526470.86115200003
Lick1,0,526470.99513599998
Feed1,128,526471.00713599997
Lick1,1,526471.439136
Lick1,2,526471.64313600003
Lick1,0,526471.77913599997
Feed1,129,526471.79113599996
Lick1,1,526471.91715200001
Lick1,2,526472.05312000006
Lick1,0,526472.45910400001
Feed1,130,526472.471104
Lick1,1,526472.66310400004
Lick1,2,526472.79910399998
Lick1,0,526473.31110399996
Feed1,131,526473.32310399995
Lick1,1,526474.15711999999
Lick1,2,526474.53510400001
Lick1,0,526474.77312000003
Feed1,132,526474.78112000006
Lick1,1,526475.14508799999
Lick1,2,526475.28108800005
Lick1,0,526475.415072
Feed1,133,526475.42707199999
Lick1,1,526475.96108799998
Lick1,2,526476.09507200005
Lick1,0,526476.23507199995
Feed1,134,526476.24307199998
Lick1,1,526476.36908800004
Lick1,2,526476.50508799998
Lick1,0,526476.77507199999
Feed1,135,526476.78707199998
Lick1,1,526476.91107200005
Lick0,2,526479.25705599994
Lick1,0,526479.26505599997
Feed1,136,526479.27705599996
Lick0,1,526480.24300799996
Lick1,2,526480.25302399998
Lick1,0,526480.37900800002
Feed1,137,526480.39100800001
Lick1,1,526480.51500799996
Lick1,2,526480.78902400006
Lick0,0,526489.32092800003
Feed0,10,526489.32892799994
Lick1,1,526489.33692799998
Lick1,2,526489.62291200005
Lick1,0,526490.16892800003
Feed1,138,526490.18092800002
Lick0,1,526520.31254399999
Lick1,2,526520.32454399997
Lick0,0,526525.31046399998
Feed0,11,526525.32246399997
Lick1,1,526525.330464
Lick1,2,526525.65046399995
Lick1,0,526526.09247999999
Feed1,139,526526.10447999998
Lick1,1,526526.36246400001
Lick0,2,526555.99212800001
Lick1,0,526556.004128
Feed1,140,526556.01612799999
Lick0,1,526556.64012800006
Lick1,2,526556.64812799997
Lick1,0,526557.04809599998
Feed1,141,526557.05609600001
Lick1,1,526557.52409600001
Lick1,2,526557.79408000002
Lick1,0,526558.08409599995
Feed1,142,526558.09407999995
Lick1,1,526558.40809599997
Lick1,2,526558.88409599999
Lick1,0,526559.08409599995
Feed1,143,526559.09609600005
Lick1,1,526559.69808
Lick1,2,526559.90409600001
Lick1,0,526560.00204799999
Feed1,144,526560.01404799998
Lick1,1,526560.14204800001
Lick1,2,526560.51404799998
Lick1,0,526560.65004800004
Feed1,145,526560.66204800003
Lick1,1,526561.02204800001
Lick1,2,526561.36204799998
Lick1,0,526561.49804800004
Feed1,146,526561.51004800003
Lick1,1,526562.01004800003
Lick1,2,526562.24604799994
Lick1,0,526562.62006400002
Feed1,147,526562.63212800003
Lick1,1,526562.85804800002
Lick1,2,526562.99606399995
Lick1,0,526563.13212800003
Feed1,148,526563.14403199998
Lick1,1,526563.64003200002
Lick1,2,526563.87603199994
Lick1,0,526564.012032
Feed1,149,526564.02403199999
Lick1,1,526564.52403199999
Lick1,2,526564.72803200001
Lick1,0,526564.96601600002
Feed1,150,526564.97801600001
Lick1,1,526565.10201599996
Lick1,2,526565.34003199998
Lick1,0,526565.47401600005
Feed1,151,526565.48601600004
Lick1,1,526565.61001599999
Lick1,2,526565.74803200003
Lick1,0,526565.98601600004
Feed1,152,526565.99401599995
Lick1,1,526566.08799999999
Lick1,2,526566.22400000005
Lick1,0,526566.357984
Feed1,153,526566.36998399999
Lick1,1,526566.49398399994
Lick1,2,526567.00598400005
Lick1,0,526567.27599999995
Feed1,154,526567.28799999994
Lick1,1,526567.41200000001
Lick1,2,526568.46396800003
Lick1,0,526569.11196799995
Feed1,155,526569.12396800006
Lick1,1,526569.68796799995
Lick1,2,526570.06195200002
Lick1,0,526570.19596799999
Feed1,156,526570.20995199995
Lick1,1,526570.43795199995
Lick1,2,526570.57395200001
Lick1,0,526570.81196800002
Feed1,157,526570.82396800001
Lick1,1,526570.94595199998
Lick1,2,526571.59392000001
Lick1,0,526572.10192000004
Feed1,158,526572.11392000003
Lick1,1,526572.67792000005
Lick1,2,526572.81391999999
Lick1,0,526572.94992000004
Feed1,159,526572.96192000003
Lick1,1,526573.52992
Lick1,2,526573.66592000006
Lick1,0,526574.17388799996
Feed1,160,526574.18588799995
Lick1,1,526574.30790400004
Lick1,2,526574.44790399994
Lick1,0,526574.58188800002
Feed1,161,526574.59590399999
Lick1,1,526574.71788799996
Lick1,2,526574.85388800001
Lick1,0,526574.98790399998
Feed1,162,526575.00188800006
Lick1,1,526575.77190399996
Lick1,2,526575.90588800004
Lick1,0,526576.45190400002
Feed1,163,526576.463904
Lick1,1,526576.89388800005
Lick1,2,526577.02790400002
Lick1,0,526577.39990399999
Feed1,164,526577.41388799995
Lick1,1,526577.539904
Lick1,2,526577.97788799996
Lick1,0,526578.21587199997
Feed1,165,526578.22787199996
Lick1,1,526578.35587199999
Lick1,2,526578.625856
Lick1,0,526579.91587200004
Feed1,166,526579.92787200003
Lick1,1,526580.08787199995
Lick1,2,526580.45987200004
Lick1,0,526580.56185599999
Feed1,167,526580.57587199996
